,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
95,-877,43709,43715,98.28,98.749,,93.46799999999999,-411.3129999999948,-0.004772079772079607,2016-06-15 09:36:00,2016-06-15 09:42:00,0 days 00:06:00,
96,-1163,44080,44250,95.5,95.8851,,92.22000000000001,-447.8712999999933,-0.004032460732984244,2016-06-16 09:36:00,2016-06-16 12:26:00,0 days 02:50:00,
97,-444,44470,44852,96.5,94.67,97.45,84.24479999999996,812.5199999999993,0.018963730569948156,2016-06-17 09:36:00,2016-06-17 16:00:00,0 days 06:24:00,
98,912,45237,45285,96.96,96.52,,102.76999999999998,-401.2799999999979,-0.004537953795379468,2016-06-21 09:36:00,2016-06-21 10:24:00,0 days 00:48:00,
99,-739,45993,46043,98.272,98.798,,93.3679,-388.7139999999972,-0.005352491045262031,2016-06-23 09:36:00,2016-06-23 10:26:00,0 days 00:50:00,
100,238,46373,46661,90.79,89.1,,105.59000000000005,-402.22000000000287,-0.018614384844146015,2016-06-24 09:36:00,2016-06-24 14:24:00,0 days 04:48:00,
101,-1123,46763,47147,85.976,83.11,86.39,77.7601,3218.5179999999996,0.033334884153717326,2016-06-27 09:36:00,2016-06-27 16:00:00,0 days 06:24:00,
102,937,47153,47537,86.0233,88.4,85.59,90.25000000000001,2226.9678999999996,0.027628561099144022,2016-06-28 09:36:00,2016-06-28 16:00:00,0 days 06:24:00,
103,697,47543,47926,90.98,93.075,90.34,96.5889,1460.2149999999992,0.02302703890965052,2016-06-29 09:36:00,2016-06-29 16:00:00,0 days 06:24:00,
104,1231,47932,47937,93.65,93.25,,99.92999999999995,-492.400000000007,-0.004271222637480032,2016-06-30 09:36:00,2016-06-30 09:41:00,0 days 00:05:00,
105,964,48322,48703,96.56,97.93,96.04,99.51999999999997,1320.6800000000044,0.014188069594034847,2016-07-01 09:36:00,2016-07-01 16:00:00,0 days 06:24:00,
106,-1253,48709,49091,96.12,95.9101,96.56,92.88010000000001,263.0047000000058,0.002183728672492724,2016-07-05 09:36:00,2016-07-05 16:00:00,0 days 06:24:00,
107,-570,49097,49118,94.16,94.98,,87.24000000000002,-467.4000000000042,-0.008708581138487714,2016-07-06 09:36:00,2016-07-06 09:57:00,0 days 00:21:00,
108,1008,49486,49575,99.01,98.53,,104.60000000000002,-483.840000000004,-0.004847995152004847,2016-07-07 09:36:00,2016-07-07 11:05:00,0 days 01:29:00,
